 Time (decimal year), PREC (mm)
1996,0
1996.000057,0
1996.000114,0
1996.000171,0
1996.000228,0
1996.000285,0
1996.000342,0
1996.000398,0
1996.000455,0
1996.000512,0
1996.000569,0
1996.000626,0
1996.000683,0
1996.00074,0
1996.000797,0
1996.000854,0
1996.000911,0
1996.000968,0
1996.001025,0
1996.001082,0
1996.001138,0
1996.001195,0
1996.001252,0
1996.001309,0
1996.001366,0
1996.001423,0
1996.00148,0
1996.001537,0
1996.001594,0
1996.001651,0
1996.001708,0
1996.001765,0
1996.001821,0
1996.001878,0
1996.001935,0
1996.001992,0
1996.002049,0
1996.002106,0
1996.002163,0
1996.00222,0
1996.002277,0
1996.002334,0
1996.002391,0
1996.002448,0
1996.002505,0
1996.002561,0
1996.002618,0
1996.002675,0
1996.002732,0
1996.002789,0
1996.002846,0
1996.002903,0
1996.00296,0
1996.003017,0
1996.003074,0
1996.003131,0
1996.003188,0
1996.003245,0
1996.003301,0
1996.003358,0
1996.003415,0
1996.003472,0
1996.003529,0
1996.003586,0
1996.003643,0
1996.0037,0
1996.003757,0
1996.003814,0
1996.003871,0
1996.003928,0
1996.003985,0
1996.004041,0
1996.004098,0
1996.004155,0
1996.004212,0
1996.004269,0
1996.004326,0
1996.004383,0
1996.00444,0
1996.004497,0
1996.004554,0
1996.004611,0
1996.004668,0
1996.004724,0
1996.004781,0
1996.004838,0
1996.004895,0
1996.004952,0
1996.005009,0
1996.005066,0
1996.005123,0
1996.00518,0
1996.005237,0
1996.005294,0
1996.005351,0
1996.005408,0
1996.005464,0
1996.005521,0
1996.005578,0
1996.005635,0
1996.005692,0
1996.005749,0
1996.005806,0
1996.005863,0
1996.00592,0
1996.005977,0
1996.006034,0
1996.006091,0
1996.006148,0
1996.006204,0
1996.006261,0
1996.006318,0
1996.006375,0
1996.006432,0
1996.006489,0
1996.006546,0
1996.006603,0
1996.00666,0
1996.006717,0
1996.006774,0
1996.006831,0
1996.006888,0.100000001
1996.006944,0
1996.007001,0
1996.007058,0
1996.007115,0
1996.007172,0
1996.007229,0
1996.007286,0
1996.007343,0
1996.0074,0
1996.007457,0
1996.007514,0
1996.007571,0
1996.007628,0
1996.007684,0
1996.007741,0
1996.007798,0
1996.007855,0
1996.007912,0
1996.007969,0
1996.008026,0
1996.008083,0
1996.00814,0
1996.008197,0
1996.008254,0
1996.008311,0
1996.008367,0
1996.008424,0
1996.008481,0
1996.008538,0
1996.008595,0
1996.008652,0
1996.008709,0
1996.008766,0
1996.008823,0
1996.00888,0
1996.008937,0
1996.008994,0
1996.009051,0
1996.009107,0
1996.009164,0
1996.009221,0
1996.009278,0
1996.009335,0
1996.009392,0
1996.009449,0
1996.009506,0
1996.009563,0
1996.00962,0
1996.009677,0
1996.009734,0
1996.009791,0
1996.009847,0
1996.009904,0.100000001
1996.009961,0
1996.010018,0
1996.010075,0.100000001
1996.010132,0
1996.010189,0
1996.010246,0
1996.010303,0
1996.01036,0
1996.010417,0
1996.010474,0
1996.010531,0
1996.010587,0
1996.010644,0
1996.010701,0
1996.010758,0
1996.010815,0
1996.010872,0
1996.010929,0
1996.010986,0
1996.011043,0
1996.0111,0
1996.011157,0
1996.011214,0
1996.01127,0
1996.011327,0
1996.011384,0
1996.011441,0
1996.011498,0
1996.011555,0
1996.011612,0
1996.011669,0
1996.011726,0
1996.011783,0
1996.01184,0
1996.011897,0
1996.011954,0
1996.01201,0
1996.012067,0
1996.012124,0
1996.012181,0
1996.012238,0
1996.012295,0
1996.012352,0
1996.012409,0
1996.012466,0
1996.012523,0
1996.01258,0
1996.012637,0
1996.012694,0
1996.01275,0
1996.012807,0
1996.012864,0
1996.012921,0
1996.012978,0
1996.013035,0
1996.013092,0
1996.013149,0
1996.013206,0
1996.013263,0
1996.01332,0
1996.013377,0
1996.013434,0
1996.01349,0
1996.013547,0
1996.013604,0
1996.013661,0
1996.013718,0
1996.013775,0
1996.013832,0
1996.013889,0
1996.013946,0
1996.014003,0
1996.01406,0
1996.014117,0
1996.014173,0
1996.01423,0
1996.014287,0
1996.014344,0
1996.014401,0
1996.014458,0
1996.014515,0
1996.014572,0
1996.014629,0
1996.014686,0
1996.014743,0
1996.0148,0
1996.014857,0
1996.014913,0
1996.01497,0
1996.015027,0
1996.015084,0
1996.015141,0
1996.015198,0
1996.015255,0
1996.015312,0
1996.015369,0
1996.015426,0
1996.015483,0
1996.01554,0
1996.015597,0
1996.015653,0
1996.01571,0
1996.015767,0
1996.015824,0
1996.015881,0
1996.015938,0
1996.015995,0
1996.016052,0
1996.016109,0
1996.016166,0
1996.016223,0
1996.01628,0
1996.016337,0
1996.016393,0
1996.01645,0
1996.016507,0
1996.016564,0
1996.016621,0
1996.016678,0
1996.016735,0
1996.016792,0
1996.016849,0
1996.016906,0
1996.016963,0
1996.01702,0
1996.017077,0
1996.017133,0
1996.01719,0
1996.017247,0
1996.017304,0
1996.017361,0
1996.017418,0
1996.017475,0
1996.017532,0
1996.017589,0
1996.017646,0
1996.017703,0
1996.01776,0
1996.017816,0
1996.017873,0
1996.01793,0
1996.017987,0
1996.018044,0
1996.018101,0
