 Time (decimal year), PREC (mm)
1999,0
1999.000114,0
1999.000228,0
1999.000342,0
1999.000457,0
1999.000571,0
1999.000685,0
1999.000799,0
1999.000913,0
1999.001027,0
1999.001142,0
1999.001256,0
1999.00137,0
1999.001484,0
1999.001598,0
1999.001712,0
1999.001826,0
1999.001941,0
1999.002055,0
1999.002169,0
1999.002283,0
1999.002397,0
1999.002511,0
1999.002626,0
1999.00274,0
1999.002854,0
1999.002968,0
1999.003082,0
1999.003196,0
1999.003311,0
1999.003425,0
1999.003539,0
1999.003653,0
1999.003767,0
1999.003881,0
1999.003995,0
1999.00411,0
1999.004224,0
1999.004338,0
1999.004452,0
1999.004566,0
1999.00468,0
1999.004795,0
1999.004909,0
1999.005023,0
1999.005137,0
1999.005251,0
1999.005365,0
1999.005479,0
1999.005594,0
1999.005708,0
1999.005822,0
1999.005936,0
1999.00605,0
1999.006164,0
1999.006279,0
1999.006393,0
1999.006507,0
1999.006621,0
1999.006735,0
1999.006849,0
1999.006963,0
1999.007078,0
1999.007192,0
1999.007306,0
1999.00742,0
1999.007534,0
1999.007648,0
1999.007763,0
1999.007877,0
1999.007991,0
1999.008105,0
1999.008219,0
1999.008333,0
1999.008447,0
1999.008562,0
1999.008676,0
1999.00879,0
1999.008904,0
1999.009018,0
1999.009132,0
1999.009247,0
1999.009361,0
1999.009475,0
1999.009589,0
1999.009703,0
1999.009817,0
1999.009932,0
1999.010046,0
1999.01016,0
1999.010274,0
1999.010388,0
1999.010502,0
1999.010616,0
1999.010731,0
1999.010845,0
1999.010959,0
1999.011073,0
1999.011187,0
1999.011301,0
1999.011416,0
1999.01153,0
1999.011644,0
1999.011758,0
1999.011872,0
1999.011986,0
1999.0121,0
1999.012215,0
1999.012329,0
1999.012443,0
1999.012557,0
1999.012671,0
1999.012785,0
1999.0129,0
1999.013014,0
1999.013128,0
1999.013242,0
1999.013356,0
1999.01347,0
1999.013584,0
1999.013699,0
1999.013813,0
1999.013927,0
1999.014041,0
1999.014155,0
1999.014269,0
1999.014384,0
1999.014498,0
1999.014612,0
1999.014726,0
1999.01484,0
1999.014954,0
1999.015068,0
1999.015183,0
1999.015297,0
1999.015411,0
1999.015525,0
1999.015639,0
1999.015753,0
1999.015868,0
1999.015982,0
1999.016096,0
1999.01621,0
1999.016324,0
1999.016438,0
1999.016553,0
1999.016667,0
1999.016781,0
1999.016895,0
1999.017009,0
1999.017123,0
1999.017237,0
1999.017352,0
1999.017466,0
1999.01758,0
1999.017694,0
1999.017808,0
1999.017922,0
1999.018037,0
1999.018151,0
1999.018265,0
1999.018379,0
1999.018493,0
1999.018607,0
1999.018721,0
1999.018836,0
1999.01895,0
1999.019064,0
1999.019178,0
1999.019292,0
1999.019406,0
1999.019521,0
1999.019635,0
1999.019749,0
1999.019863,0
1999.019977,0
1999.020091,0
1999.020205,0
1999.02032,0
1999.020434,0
1999.020548,0
1999.020662,0
1999.020776,0
1999.02089,0
1999.021005,0
1999.021119,0
1999.021233,0
1999.021347,0
1999.021461,0
1999.021575,0
1999.021689,0
1999.021804,0
1999.021918,0
1999.022032,0
1999.022146,0
1999.02226,0
1999.022374,0
1999.022489,0
1999.022603,0
1999.022717,0
1999.022831,0
1999.022945,0
1999.023059,0
1999.023174,0
1999.023288,0
1999.023402,0
1999.023516,0
1999.02363,0
1999.023744,0
1999.023858,0
1999.023973,0
1999.024087,0
1999.024201,0
1999.024315,0
1999.024429,0
1999.024543,0
1999.024658,0
1999.024772,0
1999.024886,0
1999.025,0
1999.025114,0
1999.025228,0
1999.025342,0
1999.025457,0
1999.025571,0
1999.025685,0
1999.025799,0
1999.025913,0
1999.026027,0
1999.026142,0.100000001
1999.026256,0
1999.02637,0
1999.026484,0
1999.026598,0
1999.026712,0
1999.026826,0
1999.026941,0
1999.027055,0
1999.027169,0
1999.027283,0
1999.027397,0
1999.027511,0
1999.027626,0
1999.02774,0
1999.027854,0
1999.027968,0
1999.028082,0
1999.028196,0
1999.028311,0
1999.028425,0
1999.028539,0
1999.028653,0
1999.028767,0
1999.028881,0
1999.028995,0
1999.02911,0
1999.029224,0
1999.029338,0
1999.029452,0
1999.029566,0
1999.02968,0
1999.029795,0
1999.029909,0
1999.030023,0
1999.030137,0
1999.030251,0
1999.030365,0
1999.030479,0
1999.030594,0
1999.030708,0
1999.030822,0
1999.030936,0
1999.03105,0
1999.031164,0
1999.031279,0
1999.031393,0
1999.031507,0
1999.031621,0
1999.031735,0
1999.031849,0
1999.031963,0
1999.032078,0
1999.032192,0
1999.032306,0
1999.03242,0
1999.032534,0
1999.032648,0
1999.032763,0
1999.032877,0
1999.032991,0
1999.033105,0
1999.033219,0
1999.033333,0
1999.033447,0
1999.033562,0
1999.033676,0
1999.03379,0
1999.033904,0
1999.034018,0
1999.034132,0
1999.034247,0
1999.034361,0
1999.034475,0
1999.034589,0
1999.034703,0
1999.034817,0
1999.034932,0
1999.035046,0
1999.03516,0
1999.035274,0
1999.035388,0
1999.035502,0
1999.035616,0
1999.035731,0
1999.035845,0
1999.035959,0
1999.036073,0
1999.036187,0
1999.036301,0
1999.036416,0
1999.03653,0
1999.036644,0
1999.036758,0
1999.036872,0
1999.036986,0
1999.0371,0
1999.037215,0
1999.037329,0
1999.037443,0
1999.037557,0
1999.037671,0
1999.037785,0
1999.0379,0
1999.038014,0
1999.038128,0
1999.038242,0
1999.038356,0
1999.03847,0
1999.038584,0
1999.038699,0
1999.038813,0
1999.038927,0
1999.039041,0
1999.039155,0
1999.039269,0
1999.039384,0
1999.039498,0
1999.039612,0
1999.039726,0
1999.03984,0
1999.039954,0
1999.040068,0
1999.040183,0
1999.040297,0
1999.040411,0
1999.040525,0
1999.040639,0
1999.040753,0
1999.040868,0
1999.040982,0
1999.041096,0
1999.04121,0
1999.041324,0
1999.041438,0
1999.041553,0
1999.041667,0
1999.041781,0
1999.041895,0
1999.042009,0
1999.042123,0
1999.042237,0
1999.042352,0.100000001
1999.042466,0.200000003
1999.04258,0.100000001
1999.042694,0
1999.042808,0
1999.042922,0
1999.043037,0
1999.043151,0
1999.043265,0
1999.043379,0
1999.043493,0
1999.043607,0
1999.043721,0
1999.043836,0
1999.04395,0
1999.044064,0
1999.044178,0
1999.044292,0
1999.044406,0
1999.044521,0
1999.044635,0
1999.044749,0
1999.044863,0
1999.044977,0
1999.045091,0
1999.045205,0
1999.04532,0
1999.045434,0
1999.045548,0
1999.045662,0
1999.045776,0
1999.04589,0
1999.046005,0
1999.046119,0.899999976
1999.046233,0.200000003
1999.046347,0.200000003
1999.046461,1.399999976
1999.046575,2
1999.046689,0.300000012
1999.046804,0
1999.046918,0
1999.047032,0.200000003
1999.047146,4.300000191
1999.04726,0.800000012
1999.047374,0
1999.047489,0
1999.047603,0
1999.047717,0
1999.047831,0
1999.047945,0
1999.048059,0
1999.048174,0
1999.048288,0
1999.048402,0
1999.048516,0
1999.04863,0
1999.048744,0
1999.048858,0
1999.048973,0
1999.049087,0
1999.049201,0
1999.049315,0
1999.049429,0
1999.049543,0
1999.049658,0
1999.049772,0
1999.049886,0
1999.05,0
1999.050114,0
1999.050228,0
1999.050342,0
1999.050457,0
1999.050571,0
1999.050685,0
1999.050799,0
1999.050913,0
1999.051027,0
1999.051142,0
1999.051256,0
1999.05137,0
1999.051484,0
1999.051598,0
1999.051712,0
1999.051826,0
1999.051941,0
1999.052055,0
1999.052169,0
1999.052283,0
1999.052397,0
1999.052511,0
1999.052626,0
1999.05274,0
1999.052854,0
1999.052968,0
1999.053082,0
1999.053196,0
1999.053311,0
1999.053425,0
1999.053539,0
1999.053653,0
1999.053767,0
1999.053881,0
1999.053995,0
1999.05411,0
1999.054224,0
1999.054338,0
1999.054452,0
1999.054566,0
1999.05468,0
1999.054795,0
1999.054909,0
1999.055023,0
1999.055137,0
1999.055251,0
1999.055365,0
1999.055479,0
1999.055594,0
1999.055708,0
1999.055822,0
1999.055936,0
1999.05605,0
1999.056164,0
1999.056279,0
1999.056393,0
1999.056507,0
1999.056621,0
1999.056735,0
1999.056849,0
1999.056963,0
1999.057078,0
1999.057192,0
1999.057306,0
1999.05742,0
1999.057534,0
1999.057648,0
1999.057763,0
1999.057877,0
1999.057991,0
1999.058105,0
1999.058219,0
1999.058333,0
1999.058447,0
1999.058562,0
1999.058676,0
1999.05879,0
1999.058904,0.200000003
1999.059018,0
1999.059132,0
1999.059247,0
1999.059361,0
1999.059475,0
1999.059589,0
1999.059703,0
1999.059817,0
1999.059932,0
1999.060046,0
1999.06016,0
1999.060274,0
1999.060388,0.5
1999.060502,1
1999.060616,0.100000001
1999.060731,0.100000001
1999.060845,0.200000003
1999.060959,0.200000003
1999.061073,0.400000006
1999.061187,1
1999.061301,0.600000024
1999.061416,0.699999988
1999.06153,0.100000001
1999.061644,1.399999976
1999.061758,0.400000006
1999.061872,0.200000003
1999.061986,2
1999.0621,0.100000001
1999.062215,0
1999.062329,0
1999.062443,0.100000001
1999.062557,0.100000001
1999.062671,0.100000001
1999.062785,0
1999.0629,0
1999.063014,0
1999.063128,0
1999.063242,0
1999.063356,0
1999.06347,0
1999.063584,0
1999.063699,0
1999.063813,0
1999.063927,0
1999.064041,0
